date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-03,AAPL,2022-06-17,157.5,Put,12.25,12.75,0.3129,-0.9004,0.0201,-0.0535,0.0535,-0.0350
2022-06-03,AAPL,2022-06-17,160.0,Call,0.3,0.32,0.3317,0.0752,0.015,-0.0481,0.0404,0.0041
2022-06-03,AAPL,2022-06-17,160.0,Put,14.2,15.0,0.3317,-0.9269,0.0151,-0.0446,0.041,-0.0337
2022-06-03,AAPL,2022-06-17,162.5,Call,0.18,0.21,0.3375,0.0498,0.0107,-0.0355,0.0293,0.0027
2022-06-03,AAPL,2022-06-17,162.5,Put,16.95,18.6,0.4545,-0.8868,0.015,-0.0864,0.0547,-0.0382
2022-06-03,AAPL,2022-06-17,165.0,Call,0.12,0.14,0.3473,0.0342,0.0077,-0.0269,0.0216,0.0019
2022-06-03,AAPL,2022-06-17,165.0,Put,19.65,19.85,0.3621,-0.962,0.0085,-0.0284,0.0251,-0.0288
2022-06-03,AAPL,2022-06-17,170.0,Call,0.07,0.08,0.3793,0.0195,0.0044,-0.0183,0.0135,0.0011
2022-06-03,AAPL,2022-06-17,170.0,Put,24.3,25.25,0.4415,-0.9631,0.0067,-0.0341,0.0245,-0.0304
2022-06-03,AAPL,2022-06-17,175.0,Call,0.04,0.05,0.4088,0.0115,0.0026,-0.0126,0.0086,0.0006
2022-06-03,AAPL,2022-06-17,175.0,Put,28.7,30.7,0.4643,-0.9788,0.0042,-0.0221,0.0144,-0.0252
2022-06-03,AAPL,2022-06-17,180.0,Call,0.03,0.04,0.4479,0.0085,0.0018,-0.0105,0.0066,0.0005
2022-06-03,AAPL,2022-06-17,180.0,Put,34.0,35.25,0.4274,-0.9966,0.0015,-0.0035,0.0034,-0.0050
2022-06-03,AAPL,2022-06-17,185.0,Call,0.02,0.03,0.479,0.0059,0.0012,-0.0081,0.0047,0.0003
2022-06-03,AAPL,2022-06-17,185.0,Put,39.25,41.65,0.8443,-0.9163,0.0065,-0.1295,0.0443,-0.0434
2022-06-03,AAPL,2022-06-17,190.0,Call,0.01,0.02,0.479,0.0025,0.0006,-0.0038,0.0022,0.0001
2022-06-03,AAPL,2022-06-17,190.0,Put,44.2,46.3,0.8443,-0.9389,0.0051,-0.1012,0.0327,-0.0418
2022-06-03,AAPL,2022-07-01,100.0,Call,44.7,46.4,0.6185,0.9885,0.0012,-0.0157,0.0121,0.0753
2022-06-03,AAPL,2022-07-01,100.0,Put,0.08,0.1,0.6064,-0.0103,0.0011,-0.0119,0.011,-0.0012
2022-06-03,AAPL,2022-07-01,105.0,Call,38.75,42.95,0.6827,0.9656,0.0028,-0.0398,0.0307,0.0763
2022-06-03,AAPL,2022-07-01,105.0,Put,0.13,0.15,0.5711,-0.0161,0.0018,-0.0165,0.0162,-0.0019
2022-06-03,AAPL,2022-07-01,110.0,Call,35.0,36.7,0.5992,0.9614,0.0035,-0.0385,0.0337,0.0797
2022-06-03,AAPL,2022-07-01,110.0,Put,0.21,0.23,0.5376,-0.0255,0.0027,-0.0229,0.0239,-0.0030
2022-06-03,AAPL,2022-07-01,115.0,Call,30.6,31.75,0.592,0.9352,0.0053,-0.0563,0.0509,0.0804
2022-06-03,AAPL,2022-07-01,115.0,Put,0.32,0.34,0.5004,-0.0387,0.0042,-0.0301,0.0338,-0.0046
2022-06-03,AAPL,2022-07-01,120.0,Call,25.7,26.45,0.4874,0.9324,0.0067,-0.0484,0.0526,0.0840
2022-06-03,AAPL,2022-07-01,120.0,Put,0.51,0.54,0.4695,-0.0611,0.0064,-0.0406,0.0486,-0.0072
2022-06-03,AAPL,2022-07-01,125.0,Call,21.0,21.8,0.4541,0.8978,0.0098,-0.0608,0.0718,0.0837
2022-06-03,AAPL,2022-07-01,125.0,Put,0.82,0.85,0.4394,-0.0952,0.0096,-0.0533,0.0674,-0.0107
2022-06-03,AAPL,2022-07-01,130.0,Call,16.65,17.65,0.4474,0.8339,0.0138,-0.0827,0.1004,0.0798
2022-06-03,AAPL,2022-07-01,130.0,Put,1.33,1.37,0.4129,-0.1487,0.014,-0.0686,0.0959,-0.0165
2022-06-03,AAPL,2022-07-01,135.0,Call,12.25,13.4,0.4036,0.7656,0.0189,-0.0914,0.1235,0.0755
2022-06-03,AAPL,2022-07-01,135.0,Put,2.13,2.19,0.3874,-0.2264,0.0194,-0.0834,0.1247,-0.0248
2022-06-03,AAPL,2022-07-01,140.0,Call,8.7,9.05,0.3636,0.6669,0.0248,-0.0971,0.1463,0.0675
